Identifiant livraison;Adresse du programme;Code postal;Ville;Année du financement - agrément;Bailleur social;Nombre total de logements financés;Dont nombre de logements PLA I;Dont nombre de logements PLUS;Dont nombre de logements PLUS CD;Dont nombre de logements PLS;Mode de réalisation;Commentaires;Arrondissement;Nature de programme;COORD_X_L93;COORD_Y_L93;geo_shape;geo_point_2d
842;106, RUE CASTAGNARY;75015;Paris;2007;RIVP;14;7;0;7;0;acquisition réhabilitation;;15;logement familial;649047.1701;6859146.088;"{""type"": ""Point"", ""coordinates"": [2.30591198595605, 48.830356225528206]}";48.8303562255,2.30591198596
1096;62, RUE BAYEN;75017;Paris;2008;PARIS HAB;11;0;11;0;0;acquisition réhabilitation;;17;logement familial;647923.321;6865091.094;"{""type"": ""Point"", ""coordinates"": [2.28987525628707, 48.883728903878875]}";48.8837289039,2.28987525629
1342;PORTE DE MONTREUIL 7 SQUARE DE GASCOGNE 4 SQUARE DU PERIGORD 1 SQ DU QUERCY;75020;Paris;2009;PARIS HAB;7;0;7;0;0;acquisition réhabilitation;;20;logement familial;656833.2601;6861745.799;"{""type"": ""Point"", ""coordinates"": [2.411707298781915, 48.854304096609816]}";48.8543040966,2.41170729878
1347;52, RUE DES MATHURINS;75008;Paris;2009;HSF;11;2;9;0;0;acquisition conventionnement;;8;logement familial;650411.4617;6863919.523;"{""type"": ""Point"", ""coordinates"": [2.323938961909054, 48.87338973790938]}";48.8733897379,2.32393896191
1349;48, RUE DE LA MOUZAIA;75019;Paris;2009;RIVP;52;0;10;0;42;acquisition conventionnement;;19;logement familial;655691.2912;6864640.441;"{""type"": ""Point"", ""coordinates"": [2.395842884626425, 48.880257679787555]}";48.8802576798,2.39584288463
1433;43-45, RUE DES MORILLONS;75015;Paris;2009;BATIGERE;3;0;3;0;0;acquisition conventionnement;;15;logement familial;648608.0639;6859456.237;"{""type"": ""Point"", ""coordinates"": [2.299893261244169, 48.83311055111069]}";48.8331105511,2.29989326124
1459;4, RUE HIPPOLYTE LEBAS - 5, RUE CHORON;75009;Paris;2009;RES.L.F.;4;0;0;0;4;construction neuve;;9;logement familial;651702.8447;6864352.736;"{""type"": ""Point"", ""coordinates"": [2.341494839755365, 48.8773836478827]}";48.8773836479,2.34149483976
1237;275, RUE DE BELLEVILLE;75019;Paris;2008;SIEMP;7;1;6;0;0;acquisition réhabilitation;;19;logement familial;656033.3986;6864145.891;"{""type"": ""Point"", ""coordinates"": [2.400558590287022, 48.87583375109253]}";48.8758337511,2.40055859029
1479;12, PLACE DE LA PORTE DE VANVES ANGLE BD BRUNE ET RUE JULIA BARTHET;75014;Paris;2009;RIVP;67;0;67;0;0;construction neuve;;14;résidence pour étudiants;648911.0978;6858789.343;"{""type"": ""Point"", ""coordinates"": [2.304101309120481, 48.82713721652218]}";48.8271372165,2.30410130912
1481;115, AVENUE JEAN JAURES;75019;Paris;2009;SIEMP;8;0;4;0;4;acquisition réhabilitation;;19;logement familial;654643.9453;6865276.55;"{""type"": ""Point"", ""coordinates"": [2.381494777580149, 48.88590511262959]}";48.8859051126,2.38149477758
1507;28-30 RUE DU SURMELIN;75020;Paris;2009;SIEMP;2;0;2;0;0;acquisition réhabilitation;;20;logement familial;656275.4883;6863304.73;"{""type"": ""Point"", ""coordinates"": [2.403945688219716, 48.868285817544894]}";48.8682858175,2.40394568822
1547;13-19 RUE CAPRON;75018;Paris;2009;SIEMP;1;0;1;0;0;acquisition réhabilitation;;18;logement familial;650743.1836;6865266.355;"{""type"": ""Point"", ""coordinates"": [2.328305052777662, 48.88552684681464]}";48.8855268468,2.32830505278
1567;55 PASSAGE DU BUREAU;75011;Paris;2010;ELOGIE;4;0;4;0;0;construction neuve;;11;logement familial;655573.8783;6861662.07;"{""type"": ""Point"", ""coordinates"": [2.394553378358208, 48.85346551322263]}";48.8534655132,2.39455337836
1584;77-79, RUE LAUGIER ET 12, RUE GALVANI;75017;Paris;2010;PARIS HAB;1;0;1;0;0;acquisition conventionnement;;17;logement familial;648036.7075;6865120.475;"{""type"": ""Point"", ""coordinates"": [2.291417731932861, 48.88400227629941]}";48.8840022763,2.29141773193
1594;20-26, RUE DE CRONSTADT;75015;Paris;2010;PARIS HAB;1;1;0;0;0;acquisition conventionnement;;15;logement familial;648729.1006;6859554.169;"{""type"": ""Point"", ""coordinates"": [2.301530244148485, 48.83400089758053]}";48.8340008976,2.30153024415
1840;29 RUE HAUTPOUL;75019;Paris;2011;COALLIA;106;106;0;0;0;construction neuve;Résidence social issue du plan de traitement des foyers de travailleurs migrants;19;foyer de travailleurs migrants;655124.5987;6864874.079;"{""type"": ""Point"", ""coordinates"": [2.388091552500253, 48.88231948364987]}";48.8823194836,2.3880915525
1846;36, RUE SIBUET;75012;Paris;2011;ELOGIE;2;0;2;0;0;acquisition réhabilitation;;12;logement familial;656145.4611;6860582.372;"{""type"": ""Point"", ""coordinates"": [2.4024540529426153, 48.843794932145485]}";48.8437949321,2.40245405294
1854;1 RUE ERNEST GOUIN;75017;Paris;2011;ELOGIE;1;0;1;0;0;acquisition réhabilitation;;17;logement familial;650016.3653;6866173.348;"{""type"": ""Point"", ""coordinates"": [2.318287441939715, 48.89362706683307]}";48.8936270668,2.31828744194
1883;39, RUE LEON;75018;Paris;2011;FRANC.HAB.;6;0;0;0;6;construction neuve;;18;logement familial;652593.5837;6865623.64;"{""type"": ""Point"", ""coordinates"": [2.353497158657514, 48.888878681666704]}";48.8888786817,2.35349715866
1730;ZAC PARIS RIVE GAUCHE LOT M9E 22-26, RUE DU CHEVALERET 5-15, RUE LEO FRANKEL;75013;Paris;2010;SIEMP;60;6;24;0;30;construction neuve;;13;logement familial;654313.9566;6858732.689;"{""type"": ""Point"", ""coordinates"": [2.377698274844029, 48.82703329854602]}";48.8270332985,2.37769827484
1737;22-24, PLACE DENFERT ROCHEREAU;75014;Paris;2010;RIVP;12;12;0;0;0;construction neuve;;14;centre d'hébergement d'urgence;650889.8832;6859521.805;"{""type"": ""Point"", ""coordinates"": [2.330969146510289, 48.83387811608203]}";48.8338781161,2.33096914651
1750;190 BD DE LA VILLETTE;75019;Paris;2010;RIVP;26;0;7;0;19;acquisition réhabilitation;;19;logement familial;653835.5872;6864832.106;"{""type"": ""Point"", ""coordinates"": [2.37052024818945, 48.88185091200851]}";48.881850912,2.37052024819
1773;65 RUE DE LAGNY;75020;Paris;2010;ELOGIE;1;0;1;0;0;acquisition réhabilitation;;20;logement familial;656421.9041;6861164.627;"{""type"": ""Point"", ""coordinates"": [2.406160958290402, 48.849049927164266]}";48.8490499272,2.40616095829
1777;73 RUE RIQUET;75018;Paris;2010;SIEMP;38;7;24;0;7;acquisition réhabilitation;;18;logement familial;653205.6645;6865738.536;"{""type"": ""Point"", ""coordinates"": [2.361831353620361, 48.88995667669969]}";48.8899566767,2.36183135362
1790;275, RUE DE BELLEVILLE;75019;Paris;2010;SIEMP;11;0;4;0;7;acquisition réhabilitation;;19;logement familial;656033.3986;6864145.891;"{""type"": ""Point"", ""coordinates"": [2.400558590287022, 48.87583375109253]}";48.8758337511,2.40055859029
1791;253, RUE DE BELLEVILLE;75019;Paris;2010;SIEMP;7;0;3;0;4;acquisition réhabilitation;;19;logement familial;655854.9211;6864115.983;"{""type"": ""Point"", ""coordinates"": [2.398128427035899, 48.87555258528584]}";48.8755525853,2.39812842704
1619;26, RUE CAUCHY 15-31, RUE DE LA MONTAGNE DE L'ESPEROU;75015;Paris;2010;PARIS HAB;1;1;0;0;0;acquisition conventionnement;;15;logement familial;646927.1563;6860528.603;"{""type"": ""Point"", ""coordinates"": [2.27686191726907, 48.84261809828538]}";48.8426180983,2.27686191727
1651;GROUPE MURAT 9-11, RUE ABEL FERRY;75016;Paris;2010;PARIS HAB;1;0;1;0;0;acquisition réhabilitation;;16;logement familial;645703.7473;6859884.62;"{""type"": ""Point"", ""coordinates"": [2.260275657175534, 48.83672486962928]}";48.8367248696,2.26027565718
1655;59, RUE LOUIS BLANC;75010;Paris;2010;RIVP;32;7;20;0;5;acquisition conventionnement;;10;logement familial;653124.2085;6865001.306;"{""type"": ""Point"", ""coordinates"": [2.360801913085208, 48.88332108542112]}";48.8833210854,2.36080191309
1666;GROUPE VERSAILLES 5, RUE PIERRE LOUYS;75016;Paris;2010;PARIS HAB;1;0;1;0;0;acquisition réhabilitation;;16;logement familial;646849.415;6861382.865;"{""type"": ""Point"", ""coordinates"": [2.275695956490197, 48.85029399449643]}";48.8502939945,2.27569595649
1670;GROUPE MORILLONS 59, RUE DES MORILLONS;75015;Paris;2010;PARIS HAB;1;0;1;0;0;acquisition réhabilitation;;15;logement familial;648762.9433;6859380.406;"{""type"": ""Point"", ""coordinates"": [2.302012187625038, 48.83244093021624]}";48.8324409302,2.30201218763
